一人	ひとり
一人静	ひとりしずか
一入	ひとしお
一八	いちはつ
一向	ひたすら
一夏	いちげ
一寸	ちょっと
一年	ひととせ
一廉	ひとかど
一揃	ぴんぞろ
一斤染	いっこんぞめ
一日	ついたち
一昨年	おととし
一昨日	おととい
一昨昨年	さきおととし
一昨昨日	さきおととい
一枚	ひとひら
一枚交	いちまいまぜ
一片	ひとひら
一節切	ひとよぎり
一葉	はらん
一行	ひとく だり
一角獣	ウニコール
一言居士	イチゲンこじ
一越縮緬	ひとこしちりめん
一齣	ひとくさり／ひとこま
丁字	クローブ
丁抹	デンマーク
丁斧掛	ちょんがけ
丁稚	でっち
丁翁	あけび
丁香	ちょうじ
丁香花	はしどい
丁髷	ちょんまげ
七五三縄	しめなわ
七五三飾り	しめかざり
七夕	たなばた
七寸	みずつき
七星子	むかごにんじん
七種	ななくさ
七葉樹	とち
万寿果	パパイヤ
万年青	おもと
万聖節	ハロウィーン
丈夫	ますらお
三一	さんぴん
三人	みたり
三厄利那	セントヘレナ
三味線	しゃみせん
三和土	たたき
三布	みの
三幅	みの
三年	みとせ
三斑鶉	みふうずら
三枝	さきくさ
三椏	みつまた
三槲	みつがしわ
三歳	みとせ
三毬杖	さぎちょう
三狐神	さぐじ
三白草	はんげしょう
三稜草	みくり
三線	サンシン
三行半	みくだりハン
三角楓	とうかえで
三趾鷗	みつゆびかもめ
三鞭酒	シャンパン
上下	かるめる
上不見桜	うわみずざくら
上声	じょうしょう
上手	じょうず
上枝	ほつえ
上総	かずさ
上達部	かんだちめ
上野	こうずけ
下手	へた
下散	げさん
下枝	しずえ
下火	あこ
下端	さがりは
下総	しもうさ
下襲	したがさね
下財	げさい
下足	げそ
下野	しもつけ
下野草	しもつけそう
下風	おろし
下食日	げじきにち
不丹	ブータン
不倒翁	おきあがりこぼし
不器用	ぶきっちょ
不如帰	ほととぎす
不拘	かかわらず
不束	ふつつか
不来梅	ブレーメン
不生女	うまずめ
不盧多	ブルータス
不知不識	しらずしらず
不知火	しらぬい
不聞座頭	きかずざとう
不見転	みずテン
不貞る	ふてる
且且	かたがつ
世嗣	よつぎ
世帯	しょたい
丙午	ひのえうま
両下	まや
両人	ふたり
両刃	もろは
両面	ふたおもて
中務	なかつかさ
中心	なかご
中稲	なかて
丸魚	すっぽん
丹墨	デンマーク
丹第	ダンテ
丹色	にいろ
丹麦	デンマーク
主人	あるじ
主典	さかん
主基田	すきでん
主殿	とのもり
主殿寮	とのもりょう
主水	もんど
主神	かんざね
主税	ちから
主税寮	ちからのつかさ
主計寮	かずえりょう
主計頭	かずえのかみ
丼礑	どぶかっちり
久留子	くるす
乙姫	おとひめ
乙子	おとご
乙甲	めりかり
乙鳥	つばめ
九万疋	くまびき
九十	ここのそじ
九十九	つくも
九十九折	つづらおり
九十九髪	つくもがみ
九十路	ここのそじ
九面芋	やつがしら
乱波	らっぱ
乳切木	ちぎりぎ
乳柑	くねんぼ
乳母	うば／めのと
乳母日傘	おんばひがさ
乳脹	ちぶくら
乾児	こぶん
乾分	こぶん
乾咳	からせき
乾声	ひごえ
乾柿	ほしがき
乾海鼠	ほしこ
乾涸びる	ひからびる
乾物	ひもの
乾肉	ほしじし
乾草	ほしくさ
乾葉	ひば
乾蒸餅	ビスケット
乾酪	チーズ
乾風	あなじ
乾飯	ほしいい／かれいい
乾魚	ひうお／ほしうお／ひざかな
乾鮭	からざけ
乾鰯	ほしか
了得	さすが
予予	かねがね
予言	かねごと
争で	いかで
二人	ふたり
二十	はたち
二十日	はつか
二十歳	はたち
二十重	はたえ
二十黄雀	きれんじゃく
二合半	こなから
二布	ふたの
二幅	ふたの
二形	ふたなり
二日	ふつか
于嗟	ああ
云云	しかじか
云爾	しかいう
五井梁	ガイアナ
五倍子	ふし
五加	うこぎ
五加木	うこぎ
五十	いそ
五十日	いか
五十路	いそじ
五十雀	ごじゅうから
五十集	いさば
五墓日	ごむにち
五形花	げげばな
五月	さつき
五月晴れ	さつきばれ
五月蠅	さばえ
五月闇	さつきやみ
五月雨	さみだれ
五爪籠	やぶからし
五百	いお
五節	ごせち
五衣	いつつぎぬ
井宿	ちちりぼし
亜剌比亜	アラビア
亜力伯	アルプス
亜墨利加	アメリカ
亜弗利加	アフリカ
亜当	アダム
亜得亜	アドリア
亜拉毘亜	アラビア
亜撒	アーサー
亜歴山	アレキサンダー
亜爾	アール
亜爾吉墨都	アルキメデス
亜爾然丁	アルゼンチン
亜理斯多徳	アリストテレス
亜米利加	アメリカ
亜細亜	アジア
亜馬孫	アマゾン
亡土	もうど
亡状	ムジョウ
亡軀	なきがら
亡骸	なきがら
亢宿	あみぼし
交交	こもごも
交向	まぜむこう
交喙	いすか
交譲木	ゆずりは
人心地	ひとごこち
人状	ひとざま
人長	ひとだけ
人雪崩	ひとなだれ
人面竹	ほていちく
人頽	ひとなだれ
仄仄	ほのぼの
今宵	こよい
今将	いまはた
今年	ことし
今日	きょう
今日日	きょうび
今朝	けさ
今生	こんじょう
今際	いまわ
仏利由私	プリニウス
仏勒里達	フロリダ
仏掌薯	つくねいも
仏甲草	つめれんげ
仏科	フーコー
仏蘭克林	フランクリン
仏蘭西	フランス
仕舞屋	しもたや
他人事	ひとごと
他所	よそ
仙人帽	きぬがさたけ
仙人掌	サボテン
仙人条	いわひも
仙毛欅	いぬぶな
仙蓼	われもこう
仙迷	センチメートル
代指	つまばらみ
代終ね	だいばね
令法	りょうぶ
以丁堡	エディンバラ
以来	このかた
以津真天	いつまで
以為	おもえらく
以色列	イスラエル
仮令	ケリヨウ・たとい
仮名	かな
仮寝	うたたね
仮標	かりしめ
仮漆	ニス
仮面梟	めんふくろう
仰領	のけくび
仲人	なこうど
任那	みまな
伊太利	イタリア
伊曾保	イソップ
伊王	イワン
伊聶謝	エニセイ
伊達	だて
伊達巻	だてまき
伊頓	イートン
伏兎	ぶと
休玆	ヒューズ
伝手	つて
伝馬船	てんません
伯剌西爾	ブラジル
伯林	ベルリン
伯母	おば
伯父	おじ
伯理	ペリー
伯耆	ほうき
